분류,항목,항목_1,진료비용(단위 : 원),진료비용(단위 : 원)_2,진료비용(단위 : 원)_3,진료비용(단위 : 원)_4,진료비용(단위 : 원)_5,진료비용(단위 : 원)_6,특이사항,최종변경일
,코드,명칭,구분,비용,최저비용,최고비용,치료재료대포함여부,약제비포함여부,,
영상진단 및 방사선치료료,,임상사진,,,"8,000","15,000",X,X,,2024-01-01
영상진단 및 방사선치료료,,Localization CT,,"89,000",,,X,X,,2024-01-01
영상진단 및 방사선치료료,,3D Localization CT,,"112,000",,,X,X,,2024-01-01
영상진단 및 방사선치료료,,"Implant CT 3D(Mx, Mn)",,"146,000",,,X,X,,2024-01-01
영상진단 및 방사선치료료,,3D Implant CT(Both),,"169,000",,,X,X,,2024-01-01
영상진단 및 방사선치료료,,"TMJ CT(Rt, Lt)",,"85,000",,,X,X,,2024-01-01
영상진단 및 방사선치료료,,"3D TMJ CT(Rt, Lt)",,"118,000",,,X,X,,2024-01-01
영상진단 및 방사선치료료,,TMJ CT(Both),,"112,000",,,X,X,,2024-01-01
영상진단 및 방사선치료료,,3D TMJ CT(Both),,"134,000",,,X,X,,2024-01-01
영상진단 및 방사선치료료,,PNS CT,,"89,000",,,X,X,,2024-01-01
영상진단 및 방사선치료료,,3D PNS CT,,"112,000",,,X,X,,2024-01-01
영상진단 및 방사선치료료,,Facial CT,,"146,000",,,X,X,,2024-01-01
영상진단 및 방사선치료료,,3D Facial CT,,"169,000",,,X,X,,2024-01-01
영상진단 및 방사선치료료,,Axial CT,,"102,000",,,X,X,,2024-01-01
영상진단 및 방사선치료료,,진단분석용 필름 x-ray,,"6,000",,,X,X,,2024-01-01
