분류,항목,항목_1,진료비용(단위 : 원),진료비용(단위 : 원)_2,진료비용(단위 : 원)_3,진료비용(단위 : 원)_4,진료비용(단위 : 원)_5,진료비용(단위 : 원)_6,특이사항,최종변경일
,코드,명칭,구분,비용,최저비용,최고비용,치료재료대포함여부,약제비포함여부,,
치과 교정치료료,,교정용 고무,,"8,000",,,X,X,,2024-01-01
치과 교정치료료,,교정을위한치관노출술(Bracket부착),,,"45,000","60,000",X,X,,2024-01-01
치과 교정치료료,,교정을위한치관노출술(단순매복),,"119,000",,,X,X,,2024-01-01
치과 교정치료료,,교정을위한치관노출술(복잡매복),,"132,000",,,X,X,,2024-01-01
치과 교정치료료,,교정을위한치관노출술(완전매복),,"148,000",,,X,X,,2024-01-01
치과 교정치료료,,교정진단,,,"162,000","242,000",X,X,,2024-01-01
치과 교정치료료,2ZK300000,단순교정술식,,,"606,000","2,184,000",X,X,,2024-01-01
치과 교정치료료,2ZK300000,복합교정술식,,,"1,819,000","4,245,000",X,X,,2024-01-01
치과 교정치료료,2ZK300000,일반교정술식,,,"1,349,000","2,698,000",X,X,,2024-01-01
치과 교정치료료,2ZK300000,복합교정술식 2악(Damon),,"4,245,000",,,X,X,,2024-01-01
치과 교정치료료,2ZK300000,복합교정술식 2악(Ceramic),,"4,124,000",,,X,X,,2024-01-01
치과 교정치료료,,부분고정성 교정,,,"647,000","809,000",X,X,,2024-01-01
치과 교정치료료,,브라켓처치료,,,"8,000","17,000",X,X,,2024-01-01
치과 교정치료료,,비결찰식브라켓부착,,"260,000",,,X,X,,2024-01-01
치과 교정치료료,,상교정장치 제작,,"93,000",,,X,X,,2024-01-01
치과 교정치료료,,상교정장치,,,"486,000","971,000",X,X,,2024-01-01
치과 교정치료료,2ZK300000,설측 복잡교정술식,,,"2,811,000","5,623,000",X,X,,2024-01-01
치과 교정치료료,2ZK300000,설측 일반교정술식,,,"2,249,000","4,498,000",X,X,,2024-01-01
치과 교정치료료,2ZK300000,"기능적교정장치제작 A(activator,sagittal..)",,,"270,000","404,000",X,X,,2024-01-01
치과 교정치료료,,악외교정장치,,,"486,000","647,000",X,X,,2024-01-01
치과 교정치료료,,오라픽스 셋업 지그(순측),,,"612,000","918,000",X,X,,2024-01-01
치과 교정치료료,,오라픽스 셋업 지그(설측),,,"816,000","1,122,000",X,X,,2024-01-01
치과 교정치료료,,오라픽스 셋업 지그 재제작,,"153,000",,,X,X,,2024-01-01
치과 교정치료료,,인비졀라인 Full,,"8,360,000",,,X,X,,2024-01-01
치과 교정치료료,,인비졀라인 Teen,,"8,690,000",,,X,X,,2024-01-01
치과 교정치료료,,인비졀라인 Lite A,,"6,985,000",,,X,X,,2024-01-01
치과 교정치료료,,인비졀라인 Lite B,,"5,916,000",,,X,X,,2024-01-01
치과 교정치료료,,인비졀라인 I7 A,,"3,570,000",,,X,X,,2024-01-01
치과 교정치료료,,인비졀라인 I7 B,,"3,060,000",,,X,X,,2024-01-01
치과 교정치료료,,인비졀라인 VIVERA A,,"1,428,000",,,X,X,,2024-01-01
치과 교정치료료,,인비졀라인 VIVERA B,,"1,020,000",,,X,X,,2024-01-01
치과 교정치료료,,인비졀라인 퍼스트(전악) A,,"4,000,000",,,X,X,,2024-01-01
치과 교정치료료,,인비졀라인 퍼스트(전악) B,,"3,000,000",,,X,X,,2024-01-01
치과 교정치료료,,인비졀라인 퍼스트(편악) A,,"3,000,000",,,X,X,,2024-01-01
치과 교정치료료,,인비졀라인 퍼스트(편악) B,,"2,000,000",,,X,X,,2024-01-01
치과 교정치료료,,Replacement case,,"255,000",,,X,X,,2024-01-01
치과 교정치료료,,Cancellation Fee,,"1,020,000",,,X,X,,2024-01-01
치과 교정치료료,,세라핀 10 양악,,"1,836,000",,,X,X,,2024-01-01
치과 교정치료료,,세라핀 10 편악,,"1,836,000",,,X,X,,2024-01-01
치과 교정치료료,,세라핀 20 양악,,"3,570,000",,,X,X,,2024-01-01
치과 교정치료료,,세라핀 20 편악,,"3,570,000",,,X,X,,2024-01-01
치과 교정치료료,,세라핀 I AP,,"2,244,000",,,X,X,,2024-01-01
치과 교정치료료,,세라핀 I 양악,,"1,836,000",,,X,X,,2024-01-01
치과 교정치료료,,세라핀 I 편악,,"1,836,000",,,X,X,,2024-01-01
치과 교정치료료,,세라핀 레귤러,,"6,630,000",,,X,X,,2024-01-01
치과 교정치료료,,세라핀 레귤러 AP,,"6,630,000",,,X,X,,2024-01-01
치과 교정치료료,,T-scan(근전도검사),,"45,000",,,X,X,,2024-01-01
치과 교정치료료,,가철성 처치,,,"13,000","23,000",X,X,,2024-01-01
치과 교정치료료,,Debanding,,,"27,000","54,000",X,X,,2024-01-01
치과 교정치료료,,Dental Cast Base 제작(외주),,"43,000",,,X,X,,2024-01-01
치과 교정치료료,,Hand-wrist(both PA),,"18,000",,,X,X,,2024-01-01
치과 교정치료료,,Hand-wrist(PA Rt),,"9,000",,,X,X,,2024-01-01
치과 교정치료료,,이에프라인 키드 블루,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,이에프라인 키드 레드,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,이에프라인 키드 스타트 블루,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,이에프라인 키드 스타트 레드,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,이에프라인 티 슬림 블루,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,이에프라인 티 슬림 레드,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,이에프라인 프로필,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,이에프라인 2급 스텝,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,이에프라인 2급 슬림 블루,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,이에프라인 2급 슬림 레드,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,이에프라인 2급 스탠다드 블루,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,이에프라인 2급 스탠다드 레드,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,이에프라인 2급 라지 블루,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,이에프라인 2급 라지 레드,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,이에프라인 3급 스몰 블루,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,이에프라인 3급 스몰 레드,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,이에프라인 3급 스탠다드 블루,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,이에프라인 3급 스탠다드 레드,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,이에프라인 브레이스,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,이에프라인 프로텍트,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,이에프라인 티엠제이,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,이에프라인 가이드,,,"150,000","400,000",X,X,,2024-01-01
치과 교정치료료,,그래피 다이렉트 얼라이너 KID I (양악),,"3,000,000",,,X,X,,2024-01-01
치과 교정치료료,,그래피 다이렉트 얼라이너 KID II (양악),,"3,500,000",,,X,X,,2024-01-01
치과 교정치료료,,그래피 다이렉트 얼라이너 KID I (편악),,"2,000,000",,,X,X,,2024-01-01
치과 교정치료료,,그래피 다이렉트 얼라이너 KID II (편악),,"2,500,000",,,X,X,,2024-01-01
