중분류,소분류,항목,항목_1,진료비용(단위 : 원),진료비용(단위 : 원)_2,진료비용(단위 : 원)_3,진료비용(단위 : 원)_4,진료비용(단위 : 원)_5,진료비용(단위 : 원)_6,특이사항,최종변경일
,,코드,명칭,구분,비용,최저비용,최고비용,치료재료대포함여부,약제비포함여부,,
치과 처치 수술료,,U2390,치면열구전색,,,"33,000","96,000",X,X,,2024-01-01
치과 처치 수술료,광중합형 복합레진 충전,U02390000,광중합형 복합레진 충전,우식-1면,,"90,000","150,000",X,X,,2024-01-01
치과 처치 수술료,,U02390000,광중합복합레진충전(종합진료실),우식-1면,,"81,000","96,000",X,X,,2024-01-01
치과 처치 수술료,,U02390000,[12세이하영구치] 광중합형 복합레진 충전,우식-1면,"200,560",,,X,X,,2024-01-01
치과 처치 수술료,,U02400000,[12세이하영구치] 광중합형 복합레진 충전,우식-2면,"217,154",,,X,X,,2024-01-01
치과 처치 수술료,,U02410000,[12세이하영구치] 광중합형 복합레진 충전,우식-3면이상,"233,737",,,X,X,,2024-01-01
치과 처치 수술료,,,광중합복합레진재료대(repair),,,"65,000","90,000",X,X,,2024-01-01
치과 처치 수술료,,,광중합복합레진재료대,,,"115,000","220,000",X,X,,2024-01-01
치과 처치 수술료,,UZ001,광중합 레진 코어,,,"156,000","274,000",X,X,,2024-01-01
치과 처치 수술료,,UZ001,레진코어 형성,,,"120,000","200,000",X,X,,2024-01-01
치과 처치 수술료,,UZ001,보철물관리.처치(A),,,"20,000","50,000",X,X,,2024-01-01
치과 처치 수술료,,UZ001,보철물관리.처치(B),,,"60,000","80,000",X,X,,2024-01-01
치과 처치 수술료,,UZ001,장치물재제작,,,"81,000","162,000",X,X,,2024-01-01
치과 처치 수술료,,UZ003,핀 수복,개당,"17,000",,,X,X,,2024-01-01
치과 처치 수술료,,,글라스아이오노머충전(종합진료실),,"48,000",,,X,X,,2024-01-01
치과 처치 수술료,,UZ006,광중합글라스아이오노머충전,,,"50,000","102,000",X,X,,2024-01-01
치과 처치 수술료,,UZ006,광중합GIC수복 재료대,,,"37,000","133,000",X,X,,2024-01-01
치과 처치 수술료,,UZ006,처치료,,,"19,000","102,000",X,X,,2024-01-01
치과 처치 수술료,자가치아 이식술,UZ0820000,자가치아 이식술,,,"582,000","728,000",X,X,,2024-01-01
치과 처치 수술료,,UZ031,보정장치,,,"96,000","162,000",X,X,,2024-01-01
치과 처치 수술료,,UZ031,보정장치 간단,,,"67,000","134,000",X,X,,2024-01-01
치과 처치 수술료,,UZ031,보정장치 복잡,,,"81,000","162,000",X,X,,2024-01-01
치과 처치 수술료,,UZ031,투명유지장치,,"104,000",,,X,X,,2024-01-01
치과 처치 수술료,,UZ032,구강건조증처치,,,"13,000","22,000",X,X,,2024-01-01
치과 처치 수술료,,,구강암진단(톨루리딘 불루법),,"84,000",,,X,X,,2024-01-01
치과 처치 수술료,,UZ032,구취검사(Halimeter이용),,"26,000",,,X,X,,2024-01-01
치과 처치 수술료,,UZ032,구취처치,,,"15,000","28,000",X,X,,2024-01-01
치과 처치 수술료,,UZ033,기능적교정장치제작,,,"270,000","404,000",X,X,,2024-01-01
치과 처치 수술료,,UZ033,기능성교정장치,,,"809,000","1,214,000",X,X,,2024-01-01
치과 처치 수술료,,UZ037,인공치은(연질),,,"204,000","306,000",X,X,,2024-01-01
치과 처치 수술료,,UZ037,인공치은(경질),,,"153,000","255,000",X,X,,2024-01-01
치과 처치 수술료,,UZ037,인공치은,,,"408,000","556,000",X,X,,2024-01-01
치과 처치 수술료,,UZ038,일반교정술식,,,"1,349,000","2,698,000",X,X,,2024-01-01
치과 처치 수술료,,UZ039,코골이(수면무호흡증)치료장치,,,"950,000","1,750,000",X,X,,2024-01-01
