분류,항목,항목_1,진료비용(단위 : 원),진료비용(단위 : 원)_2,진료비용(단위 : 원)_3,진료비용(단위 : 원)_4,진료비용(단위 : 원)_5,진료비용(단위 : 원)_6,특이사항,최종변경일
,코드,명칭,구분,비용,최저비용,최고비용,치료재료대포함여부,약제비포함여부,,
치과 보철료,UA208,가칠성간격유지장치(종합진료실),,,"242,000","323,000",X,X,,2024-01-01
치과 보철료,UA208,간격유지장치(고정성)(종합진료실),,,"162,000","242,000",X,X,,2024-01-01
치과 보철료,UA208,간격유지장치(가칠성),,,"242,000","486,000",X,X,,2024-01-01
치과 보철료,UA208,간격유지장치(고정성),,,"162,000","323,000",X,X,,2024-01-01
치과 보철료,UA408,플리퍼(전치 2개이하),,,"100,000","190,000",X,X,,2024-01-01
치과 보철료,,핀,,,"16,000","24,000",X,X,,2024-01-01
치과 보철료,,영구폐쇄장치,,,"2,040,000","2,856,000",X,X,,2024-01-01
치과 보철료,,연구개폐쇄기,,,"2,876,000","3,580,000",X,X,,2024-01-01
치과 보철료,,치아보호기,,,"153,000","306,000",X,X,,2024-01-01
치과 보철료,,즉시 폐쇄기,,,"510,000","816,000",X,X,,2024-01-01
치과 보철료,,즉시의치,,,"1,836,000","2,346,000",X,X,,2024-01-01
치과 보철료,,의치리베이징,,,"200,000","400,000",X,X,,2024-01-01
치과 보철료,,의치상수리,,,"50,000","100,000",X,X,,2024-01-01
치과 보철료,,의치이장,,,"247,000","354,000",X,X,,2024-01-01
치과 보철료,,의치함,,"31,000",,,X,X,,2024-01-01
치과 보철료,,이전의치 구치교환,,,"250,000","400,000",X,X,,2024-01-01
치과 보철료,,이전의치 전치교환,,,"180,000","250,000",X,X,,2024-01-01
치과 보철료,,인공치파절전치수리,,,"70,000","100,000",X,X,,2024-01-01
치과 보철료,,인공치파절구치수리,,,"100,000","150,000",X,X,,2024-01-01
치과 보철료,,임시 국소의치,,,"400,000","600,000",X,X,,2024-01-01
치과 보철료,,불소스텐트,,"102,000",,,X,X,,2024-01-01
치과 보철료,,방사선 치료용 스텐트,,,"161,000","321,000",X,X,,2024-01-01
치과 보철료,,밀드바 (비귀금속),,,"450,000","600,000",X,X,,2024-01-01
치과 보철료,,바형어태치먼트(귀금속),,,"510,000","714,000",X,X,,2024-01-01
치과 보철료,,바형어태치먼트(비귀금속),,,"306,000","408,000",X,X,,2024-01-01
치과 보철료,,로케이터 어태치먼트,,"204,000",,,X,X,,2024-01-01
치과 보철료,,수지자켓관,,,"250,000","400,000",X,X,,2024-01-01
치과 보철료,,의치 지대용 내관 코핑(Gold A type),,,"204,000","306,000",X,X,,2024-01-01
치과 보철료,,의치 지대용 내관 코핑(Gold PG type),,,"306,000","408,000",X,X,,2024-01-01
치과 보철료,,주조 포스트,,"48,000",,,X,X,,2024-01-01
치과 보철료,UW607F320,주조금관(A형)(종합진료실),,"255,000",,,X,X,,2024-01-01
치과 보철료,UW607F320,"주조금관(PG,복잡)(종합진료실)",,"306,000",,,X,X,,2024-01-01
치과 보철료,UW607F320,주조금관(A형),,,"550,000","750,000",X,X,,2024-01-01
치과 보철료,UW607F320,주조금관(PG형),,,"663,000","918,000",X,X,,2024-01-01
치과 보철료,UZ001,주조포스트,,,"142,000","388,000",X,X,,2024-01-01
치과 보철료,UZ001,주조포스트(귀금속-스프리트형),,,"408,000","510,000",X,X,,2024-01-01
치과 보철료,UZ001,주조포스트(비귀금속.스프리트형),,,"306,000","408,000",X,X,,2024-01-01
치과 보철료,,지대주연결 재료대별도,,,"89,000","169,000",X,X,,2024-01-01
치과 보철료,,지르코니아 내관(재료대별도),,,"250,000","400,000",X,X,,2024-01-01
치과 보철료,UW609F350,지르코니아 내관을 이용한 도재관,,,"700,000","900,000",X,X,,2024-01-01
치과 보철료,,지르코니아 바(3개 이하),,,"1,200,000","1,800,000",X,X,,2024-01-01
치과 보철료,,지르코니아 바(4개 이상),,,"1,500,000","2,200,000",X,X,,2024-01-01
치과 보철료,UZ001,지르코니아 코어,,,"306,000","408,000",X,X,,2024-01-01
치과 보철료,,특수 가압식 의치제작,,,"1,732,000","2,598,000",X,X,,2024-01-01
치과 보철료,,특수인상(조직조정제),,,"80,000","150,000",X,X,,2024-01-01
